# Table S2: A full list of the 310 epigenetic and small RNA factors that were examined in this study and their regulation in HSF-1High and HSF-1Low worms.
...1,UP_in_HSF-1High,DOWN_in_HSF-1High,UP_in_HSF-1Low,DOWN_in_HSF-1Low,Input,Suggested Match,History
WBGene00021913,Yes,No,No,No,WBGene00021913,WBGene00021913,History: N.A.
WBGene00022021,No,No,No,No,WBGene00022021,WBGene00022021,History: N.A.
WBGene00022034,No,Yes,Yes,No,WBGene00022034,WBGene00022034,History: N.A.
WBGene00022134,No,Yes,No,No,WBGene00022134,WBGene00022134,History: N.A.
WBGene00022173,No,No,No,No,WBGene00022173,WBGene00022173,History: N.A.
WBGene00022224,No,No,Yes,No,WBGene00022224,WBGene00022224,History: N.A.
WBGene00022371,No,No,No,No,WBGene00022371,WBGene00022371,History: N.A.
WBGene00022431,No,No,No,No,WBGene00022431,WBGene00022431,History: N.A.
WBGene00022499,No,No,Yes,No,WBGene00022499,WBGene00022499,History: Renamed on 2007-05-03
WBGene00022531,No,Yes,No,No,WBGene00022531,WBGene00022531,History: N.A.
WBGene00022613,No,No,No,No,WBGene00022613,WBGene00022613,History: N.A.
WBGene00022620,No,Yes,Yes,No,WBGene00022620,WBGene00022620,History: N.A.
WBGene00022831,No,Yes,Yes,No,WBGene00022831,WBGene00022831,History: N.A.
WBGene00022850,No,Yes,No,No,WBGene00022850,WBGene00022850,History: N.A.
WBGene00022851,No,No,No,Yes,WBGene00022851,WBGene00022851,History: N.A.
WBGene00022852,No,No,No,Yes,WBGene00022852,WBGene00022852,History: N.A.
WBGene00022853,No,No,No,No,WBGene00022853,WBGene00022853,History: N.A.
